2;Вопросы по трекеру;0
3;Технический раздел;0
4;Общение;0
5;FAQ по BitTorrent;22
6;FAQ по оформлению раздач;22
7;Информация о разделе;3
8;Тестовые раздачи (Общий);3
9;Отсутствуют сиды;3
10;Корзина;3
11;Общая информация (Общение);4
12;Самиздат;0
14;Трёп обо всём подряд (Флудильня);4
16;Информация о разделе "Архивы библиотек";1172
18;Архивы библиотек;0
20;Художественная литература;0
22;Правила, FAQ'и, инструкции;2
24;Аудиокниги;0
25;Информация о разделе "Художественная литература";1174
26;Периодические издания, альманахи, ежегодники, календари;0
28;Поиск и предложение библиотек;1145
33;Предложения по работе трекера в целом и отдельных разделов;589
34;Обучение и книги на других языках;0
35;Компьютерная литература;0
36;Информация о разделе "Аудиокниги";1171
39;Вспомогательный Софт и Материалы;0
40;История, Политика;0
41;Информация о разделе "Журналы и газеты";1173
42;Поиск и предложение журналов и газет;1145
43;Общественные и гуманитарные науки;0
44;Вспомогательный Софт и Материалы. Разное;39
46;Релиз-группы и клубы по интересам;0
47;Точные, Естественные и Инженерные науки;0
49;Живопись, Скульптура, Иллюстрации, Плакаты, Фото (Книги и Картины);0
50;Мультимедийные материалы, Обучающее видео;0
51;Дизайн, Графика, Оформительство;0
53;Документальная и Научно-популярная литература;0
54;Правила пользования трекером;589
55;Детям, родителям и педагогам;0
56;Авторские раздачи;0
58;Материалы для читалок, мобильников, смартфонов;0
60;Военное дело;0
62;Медицина, Здоровье;0
64;Юриспруденция, Право, Криминал;0
88;Поиск и предложение аудиокниг;1145
245;Библиотека Флибуста;18
246;Библиотека Либрусек;18
249;Ежедневные обновления (Либрусек);246
250;Еженедельные архивы (Либрусек);246
251;Официальные ежемесячные архивы (Либрусек);246
252;Полные сборки библиотеки Либрусек;246
253;Ежедневные обновления (Флибуста);245
254;Еженедельные архивы (Флибуста);245
255;Ежемесячные архивы (Флибуста);245
256;Полные сборки библиотеки Флибуста;245
269;Зарубежные ужасы и мистика (Аудиокниги);300
270;Русская современная проза (Аудиокниги);300
272;Русская приключенческая литература (Аудиокниги);300
273;Юмор и Сатира (Аудиокниги);300
275;Прочее (Детям, родителям и педагогам. Аудиокниги);1433
276;Разное (Проза. Аудиокниги);300
277;Жанровые и тематические подборки Художественной литературы;1090
278;Собрания сочинений (Худ.лит);20
279;Книги (Худ.лит);20
280;Детектив / Боевик / Триллер (Книги);279
281;Фантастика (Книги);279
282;Фэнтези (Книги);279
283;Мистика / Ужасы (Книги);279
284;Разное (Книги);279
